index,course number,course name
225,BCT202C,Bus. Principles for Constructi 
221,BCT203,Interior Finish 
222,BCT206,Sustainable Const. Practices 
226,BCT214,Adv Construction Estimating 
223,BCT219,Cabinetmaking I 
227,BCT222,Engineering for Constructors 
228,BCT280A,CE: Building Construction 
191,BI101,Biology 
192,BI102,Biology 
193,BI103,Biology 
194,BI112,Cell Biology for Health Occ 
201,BI121,Intro Human Anatomy/Phys I 
202,BI122,Intro Human Anat/Phys II 
195,BI142,Habitats: Marine Biology 
196,BI145,Intro Fish & Wild Cons. & Mgmt 
197,BI211,Principles of Biology 
198,BI212,Principles of Biology 
199,BI213,Principles of Biology 
200,BI222,Human Genetics 
203,BI231,Human Anatomy & Physiology I 
204,BI232,Human Anatomy & Physiology II 
205,BI233,Human Anatomy & Physiology III 
207,BI234,Microbiology 
206,BI241,Pathophysiology 
208,BI287,Introduction to Immunology 
209,BIT126,Applied Quality Practice 
210,BIT181,Exploring Bioscience 
211,BIT203,Recombinant DNA 
212,BIT205,Bioseparations 
351,CADD126,Introduction to AutoCAD 
352,CADD136,Intermediate AutoCAD 
354,CADD175,SolidWorks Fundamentals 
353,CADD185,Inventor Fundamentals 
350,CADD195,Statics/Mechanics for Designer 
355,CADD275,SolidWorks Advanced 
362,CAS100A,Computer Success Skills 
365,CAS101,Intro to Website Devel & Desig 
363,CAS103,Introduction to Windows 
366,CAS104,Basic Internet Skills 
367,CAS106,Introduction to HTML 
393,CAS109,Beginning PowerPoint 
368,CAS110,Introduction to Web Graphics 
369,CAS111D,Begin Website: Dreamweaver 
370,CAS111W,Beg Website Design:WordPress 
394,CAS118,Beginning Photoshop 
382,CAS121,Beginning Keyboarding 
383,CAS121A,Beginning Keyboarding 
384,CAS122,Keyboarding for Speed/Accuracy 
385,CAS123,Professional Doc Formatting 
364,CAS133,Basic Computer Skill/MS Office 
371,CAS137,Basic Web Design Skills/Adobe 
386,CAS140,Beginning Access 
372,CAS151,Microsoft Outlook 
388,CAS170,Beginning Excel 
387,CAS170A,Beginning Excel 
389,CAS171,Intermediate Excel 
373,CAS175E,Intro Web Animation 
374,CAS180,Search Engine Optimization-SEO 
375,CAS206,Principles of HTML and CSS 
376,CAS211W,WordPress Customization/Themes 
377,CAS213,JavaScript JQuery Designers 
378,CAS215,Inter. CSS/Preprocessors 
390,CAS216,Beginning Word 
391,CAS216A,Beginning Word 
392,CAS217,Intermediate Word 
379,CAS222,Integrated Website Design 
380,CAS225,PHP and MySQL for Designers 
395,CAS231,Publisher 
396,CAS232,Desktop Publishing: InDesign 
397,CAS233,Beginning Illustrator 
381,CAS242,UX/UI Design for the Web 
398,CAS246,Integrated Computer Projects 
399,CAS280W,CE: WebSite Development 
35,CEU3168,"Forklift, Safety & Code "
34,CEU925P,Coyne 1st Aid/CPR for Trades 
546,CEU931I,24 hr EMT Recert 
317,CG0693,Confidence Building 
319,CG100,College Survival and Success 
318,CG101,Col.Surv & Success: Pers. Resp 
320,CG105,Scholarships: $$ for College 
321,CG111A,Study Skills for Coll Learning 
322,CG111B,Study Skills for Coll Learning 
323,CG112,Managing Test Anxiety 
324,CG114,Financial Survival 
325,CG130,Today's Careers 
326,CG130H,Intro Today's Careers: Health 
327,CG140A,Career and Life Planning 
328,CG140B,Career and Life Planning 
329,CG144,Intro to Assertiveness 
330,CG145,Stress Management 
331,CG146,Value Clarification 
332,CG147,Decision Making 
333,CG191,Exploring Identity & Diversity 
334,CG209,Job Finding Skills 
335,CG225,Trans to a Four Year College 
336,CG280A,CE: Career Development 
270,CH100,Everyday Chemistry with Lab 
271,CH102,Organic Chemistry Principles 
272,CH104,Allied Health Chemistry I 
273,CH105,Allied Health Chemistry II 
274,CH106,Allied Health Chemistry III 
275,CH151,Preparatory Chemistry 
276,CH221,General Chemistry I 
277,CH222,General Chemistry II 
278,CH223,General Chemistry III 
279,CH241,Organic Chemistry I 
280,CH242,Organic Chemistry II 
281,CHLA201,Intro Chicano/Latino Studies 1 
282,CHLA202,Chicano/Latino Studies II 
305,CHN101,First Year Chinese 
306,CHN102,First Year Chinese 
307,CHN202,Second Year Chinese 
400,CIS120,Computer Concepts I 
401,CIS121,Computer Concepts II 
402,CIS122,Intro to Programming Logic 
403,CIS125D,Database Application Dev I 
404,CIS133J,Java Programming I 
405,CIS133N,Intro to Programming C#.NET 
406,CIS133W,JavaScript for Web Developers 
407,CIS135M,Mobile App Prog for Android 
408,CIS140M,Operating Systems I: Microsoft 
409,CIS145,Micro Computer Hardware 
410,CIS179,Data Comm Concepts I 
411,CIS188,Intro to Wireless Networking 
